Total,17 803 ,229 ,17 574 ,3 818 ,13 756 ,21764,243,21521,4043,17478,2322,43,2279,627,1652,16117,169,15948,3083,12865,3325,31,3294,333,2961
,,,,,,,,,,,,,,,,,,,,,,,,,
Région lémanique,3 439 ,48 ,3 391 ,975 ,2 416 ,4 200,48,4 152,1 025,3 127,514,14,500,170,330,3 080,31,3 049,759,2 290,606,3,603,96,507
Vaud,1 609 ,20 ,1 589 ,396 ,1 193 ,2 007,20,1 987,418,1 569,217,6,211,69,142,1 468,12,1 456,307,1 149,322,2,320,42,278
Valais,530 ,17 ,513 ,217 ,296 ,667,17,650,230,420,86,4,82,34,48,472,12,460,169,291,109,1,108,27,81
Genève,1 300 ,11 ,1 289 ,362 ,927 ,1 526,11,1 515,377,1 138,211,4,207,67,140,1 140,7,1 133,283,850,175,0,175,27,148
,,,,,,,,,,,,,,,,,,,,,,,,,
Espace Mittelland,4 091 ,49 ,4 042 ,837 ,3 205 ,5 101,51,5 050,900,4 150,463,10,453,122,331,3 764,37,3 727,695,3 032,874,4,870,83,787
Berne,2 509 ,23 ,2 486 ,542 ,1 944 ,3 059,23,3 036,579,2 457,276,3,273,84,189,2 284,19,2 265,450,1 815,499,1,498,45,453
Fribourg,550 ,8 ,542 ,138 ,404 ,710,9,701,151,550,65,3,62,16,46,528,5,523,117,406,117,1,116,18,98
Soleure,586 ,7 ,579 ,77 ,502 ,792,7,785,83,702,45,1,44,11,33,576,6,570,63,507,171,0,171,9,162
Neuchâtel,285 ,7 ,278 ,43 ,235 ,331,7,324,45,279,54,2,52,9,43,224,5,219,30,189,53,0,53,6,47
Jura,161 ,4 ,157 ,37 ,120 ,209,5,204,42,162,23,1,22,2,20,152,2,150,35,115,34,2,32,5,27
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse du Nord-Ouest,2 064 ,32 ,2 032 ,425 ,1 607 ,2 507,34,2 473,447,2 026,289,5,284,67,217,1 864,26,1 838,349,1 489,354,3,351,31,320
Bâle-Ville,374 ,2 ,372 ,86 ,286 ,437,2,435,88,347,77,0,77,24,53,295,2,293,61,232,65,0,65,3,62
Bâle-Campagne,475 ,7 ,468 ,102 ,366 ,582,7,575,106,469,72,0,72,16,56,439,7,432,86,346,71,0,71,4,67
Argovie,1 215 ,23 ,1 192 ,237 ,955 ,1488,25,1463,253,1210,140,5,135,27,108,1130,17,1113,202,911,218,3,215,24,191
,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,3 044 ,28 ,3 016 ,567 ,2 449 ,3551,30,3521,588,2933,453,5,448,110,338,2574,19,2555,442,2113,524,6,518,36,482
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse orientale,2 502 ,44 ,2 458 ,413 ,2 045 ,3 122,47,3 075,442,2 633,280,6,274,65,209,2 327,33,2 294,338,1 956,515,8,507,39,468
Glaris,90 ,1 ,89 ,17 ,72 ,107,1,106,19,87,9,0,9,2,7,76,1,75,14,61,22,0,22,3,19
Schaffhouse,163 ,4 ,159 ,39 ,120 ,192,4,188,43,145,22,0,22,8,14,141,3,138,29,109,29,1,28,6,22
Appenzell Rh.-Ext.,91 ,3 ,88 ,13 ,75 ,107,3,104,14,90,16,0,16,3,13,73,2,71,10,61,18,1,17,1,16
Appenzell Rh.-Int.,28 ,2 ,26 ,6 ,20 ,29,2,27,6,21,4,1,3,0,3,25,1,24,6,18,0,0,0,0,0
Saint-Gall,972 ,12 ,960 ,199 ,761 ,1231,13,1218,213,1005,123,2,121,36,85,917,9,908,161,747,191,2,189,16,173
Grisons,526 ,15 ,511 ,70 ,441 ,695,16,679,76,603,44,2,42,5,37,501,11,490,64,426,150,3,147,7,140
Thurgovie,632 ,7 ,625 ,69 ,556 ,761,8,753,71,682,62,1,61,11,50,594,6,588,54,534,105,1,104,6,98
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse centrale,1 794 ,21 ,1 773 ,370 ,1 403 ,2 196,25,2 171,403,1 768,188,3,185,43,142,1 730,16,1 714,326,1 388,278,6,272,34,238
Lucerne,1 010 ,10 ,1 000 ,186 ,814 ,1250,11,1239,193,1046,115,1,114,24,90,982,8,974,162,812,153,2,151,7,144
