Total,17803,229,17574,3818,13756,21764,243,21521,4043,17478,2322,43,2279,627,1652,16117,169,15948,3083,12865,3325,31,3294,333,2961
,,,,,,,,,,,,,,,,,,,,,,,,,
Région lémanique,3439,48,3391,975,2416,4200,48,4152,1025,3127,514,14,500,170,330,3080,31,3049,759,2290,606,3,603,96,507
Vaud,1609,20,1589,396,1193,2007,20,1987,418,1569,217,6,211,69,142,1468,12,1456,307,1149,322,2,320,42,278
Valais,530,17,513,217,296,667,17,650,230,420,86,4,82,34,48,472,12,460,169,291,109,1,108,27,81
Genève,1300,11,1289,362,927,1526,11,1515,377,1138,211,4,207,67,140,1140,7,1133,283,850,175,0,175,27,148
,,,,,,,,,,,,,,,,,,,,,,,,,
Espace Mittelland,4091,49,4042,837,3205,5101,51,5050,900,4150,463,10,453,122,331,3764,37,3727,695,3032,874,4,870,83,787
Berne,2509,23,2486,542,1944,3059,23,3036,579,2457,276,3,273,84,189,2284,19,2265,450,1815,499,1,498,45,453
Fribourg,550,8,542,138,404,710,9,701,151,550,65,3,62,16,46,528,5,523,117,406,117,1,116,18,98
Soleure,586,7,579,77,502,792,7,785,83,702,45,1,44,11,33,576,6,570,63,507,171,0,171,9,162
Neuchâtel,285,7,278,43,235,331,7,324,45,279,54,2,52,9,43,224,5,219,30,189,53,0,53,6,47
Jura,161,4,157,37,120,209,5,204,42,162,23,1,22,2,20,152,2,150,35,115,34,2,32,5,27
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse du Nord-Ouest,2064,32,2032,425,1607,2507,34,2473,447,2026,289,5,284,67,217,1864,26,1838,349,1489,354,3,351,31,320
Bâle-Ville,374,2,372,86,286,437,2,435,88,347,77,0,77,24,53,295,2,293,61,232,65,0,65,3,62
Bâle-Campagne,475,7,468,102,366,582,7,575,106,469,72,0,72,16,56,439,7,432,86,346,71,0,71,4,67
Argovie,1215,23,1192,237,955,1488,25,1463,253,1210,140,5,135,27,108,1130,17,1113,202,911,218,3,215,24,191
,,,,,,,,,,,,,,,,,,,,,,,,,
Zurich,3044,28,3016,567,2449,3551,30,3521,588,2933,453,5,448,110,338,2574,19,2555,442,2113,524,6,518,36,482
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse orientale,2502,44,2458,413,2045,3122,47,3075,442,2633,280,6,274,65,209,2327,33,2294,338,1956,515,8,507,39,468
Glaris,90,1,89,17,72,107,1,106,19,87,9,0,9,2,7,76,1,75,14,61,22,0,22,3,19
Schaffhouse,163,4,159,39,120,192,4,188,43,145,22,0,22,8,14,141,3,138,29,109,29,1,28,6,22
Appenzell Rh.-Ext.,91,3,88,13,75,107,3,104,14,90,16,0,16,3,13,73,2,71,10,61,18,1,17,1,16
Appenzell Rh.-Int.,28,2,26,6,20,29,2,27,6,21,4,1,3,0,3,25,1,24,6,18,0,0,0,0,0
Saint-Gall,972,12,960,199,761,1231,13,1218,213,1005,123,2,121,36,85,917,9,908,161,747,191,2,189,16,173
Grisons,526,15,511,70,441,695,16,679,76,603,44,2,42,5,37,501,11,490,64,426,150,3,147,7,140
Thurgovie,632,7,625,69,556,761,8,753,71,682,62,1,61,11,50,594,6,588,54,534,105,1,104,6,98
,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse centrale,1794,21,1773,370,1403,2196,25,2171,403,1768,188,3,185,43,142,1730,16,1714,326,1388,278,6,272,34,238
Lucerne,1010,10,1000,186,814,1250,11,1239,193,1046,115,1,114,24,90,982,8,974,162,812,153,2,151,7,144
Uri,94,2,92,22,70,119,2,117,26,91,9,0,9,1,8,94,2,92,21,71,16,0,16,4,12
Schwytz,271,2,269,70,199,329,2,327,76,251,22,0,22,5,17,258,1,257,61,196,49,1,48,10,38
Obwald,63,2,61,13,48,80,2,78,15,63,5,0,5,2,3,63,2,61,13,48,12,0,12,0,12
Nidwald,80,2,78,20,58,101,4,97,26,71,7,1,6,3,3,73,1,72,16,56,21,2,19,7,12
Zoug,276,3,273,59,214,317,4,313,67,246,30,1,29,8,21,260,2,258,53,205,27,1,26,6,20
,,,,,,,,,,,,,,,,,,,,,,,,,
Tessin,869,7,862,231,631,1087,8,1079,238,841,135,0,135,50,85,778,7,771,174,597,174,1,173,14,159
,,,,,,,,,,,,,,,,,,,,,,,,,
