Annee;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH
1970;426428;12978;48367;909828;200034;233506;177721;330656;37781;156763;66879;287651;166589;25281;24413;379888;71977;222060;90871;180028;240953;33280;507076;202236;67607;1092213
1971;430611;12961;48286;913187;203237;230356;180316;332595;37583;157184;66900;289900;167222;25592;24677;382224;72081;222073;92028;180618;247175;33466;511085;203743;68912;1099732
1972;436261;13031;48324;917409;207187;229264;181915;335973;37542;158204;67076;292092;167121;25941;24862;385087;72198;223086;93097;182091;252078;33672;516996;207237;70029;1110395
1973;441650;13004;48187;920370;211201;227059;183106;339541;37648;158950;67185;293814;167533;26320;25057;387960;72047;223036;94142;184108;253423;33903;516318;210538;71149;1119276
1974;445500;13003;47984;922882;213956;224297;184654;342276;37556;159677;67137;295017;166813;26651;25233;390179;71853;223564;94800;184705;255746;34020;519608;212856;72093;1124225
1975;441946;12865;47602;916818;213986;220685;183866;342104;36912;159622;66312;293441;164146;26834;25229;386716;70716;221387;94700;182416;257832;33848;517967;213265;72141;1117622
1976;440075;12853;47074;911104;213470;215249;183451;341796;36509;159457;65531;292358;161058;27046;25257;384442;69721;218470;94490;181028;258500;33880;515929;213713;72442;1109126
1977;440998;12791;46916;909184;214136;211518;183099;342876;36266;159328;65108;292396;159334;27423;25343;384480;69231;217052;94824;180895;260298;33988;515872;214466;73231;1107266
1978;443739;12771;46910;908267;215419;208309;183209;344170;36081;159230;64767;292620;158551;27695;25356;385123;69006;216276;95132;181097;261994;33713;516939;215140;73868;1109774
1979;447021;12742;46940;908820;216976;205574;183727;346500;36021;159791;64565;293197;157551;27982;25488;386179;68849;215890;95667;181568;263624;33546;519059;216249;74691;1115356
1980;450794;12757;47185;911016;218975;203598;184497;349562;36138;161253;64311;294421;157091;28321;25731;388975;69043;216563;96597;182677;265588;33523;522340;217795;75677;1120815
1981;455379;12781;47702;914753;220053;202121;185901;352461;36249;162582;64294;296378;156803;28888;26191;391671;69610;217784;97519;184872;268748;33471;526552;219953;76348;1123840
1982;458992;12904;48223;918323;221167;201139;187597;355806;36196;163503;64460;298597;156020;29278;26569;394387;69735;217942;98566;186557;271233;33595;531413;222668;77184;1127659
1983;461968;13014;48582;919980;222155;199203;188882;357752;36240;163949;64372;300237;154790;29765;26813;396520;69650;217804;99834;187706;272178;33552;535239;225094;77864;1124690
1984;464626;13042;48803;921476;223492;197470;190394;360462;36423;164836;64431;302245;154719;30153;27046;398626;69630;218148;100875;189155;273528;33589;539627;227274;78978;1126848
1985;468163;13128;49140;922863;224972;195858;192440;362157;36419;165589;64645;303901;154909;30601;27330;401216;69643;218662;102063;190699;275261;33517;543667;229470;80273;1128248
1986;472685;13137;49342;925463;225836;194340;194645;363550;36580;166494;64711;306132;156216;31041;27594;403931;69781;219458;103358;192439;277220;33456;550336;232550;81634;1131484
1987;478511;13140;49782;928758;227126;192559;197175;365525;36674;167143;64645;308741;156943;31347;27749;407012;70094;220252;104634;195219;278647;33435;556942;235390;82790;1136566
1988;484308;13333;50328;932577;228151;190854;200166;371356;36953;167904;64681;311761;157436;31619;27896;410773;70317;221464;106409;198371;280630;33544;565181;239048;83419;1141494
1989;490412;13504;50882;937365;229030;190347;204328;373019;37253;169005;64942;314837;158569;32030;28323;414718;70949;223534;108063;201620;283023;33511;571973;243705;84009;1144899
1990;496280;13573;51470;945573;230112;191787;207751;375957;37648;170411;65697;319525;160609;32628;28813;420268;71697;226655;110526;205946;286725;33650;583625;248313;84908;1150546
1991;506818;14251;52437;949770;232333;195647;210783;381404;38720;176188;67528;326283;161774;34344;29712;427648;72457;232600;113553;210542;290000;35363;587283;257730;85882;1151718
1992;511979;14548;53449;953458;233151;196634;214555;383911;38976;179279;68323;331830;162581;34866;30247;432819;73028;234878;116090;213167;294108;35544;593007;262389;87065;1158077
1993;518945;14680;54087;956617;234910;197403;218704;387606;39138;181957;68626;335385;163884;35393;30837;436967;73588;236389;118528;217129;297955;35727;596736;266713;88583;1162083
1994;523114;14742;54227;941747;251259;197054;222227;391699;39388;184155;68979;337941;164176;35983;30958;440744;73894;237338;120576;220335;302131;35933;602099;269341;90412;1168567
1995;528887;14750;54104;941952;252331;195759;224552;395466;39410;185063;69188;340536;165258;36466;31310;442350;74035;239264;122409;223372;305199;35876;605677;271291;92392;1175457
1996;531665;14833;54136;940928;253911;194913;227866;394588;39161;185999;68948;341809;165232;36794;31440;443839;73835;240777;123788;224822;304830;35861;606471;272315;93737;1178848
1997;534028;14887;54011;938647;255305;193053;229947;396659;38735;185532;68964;342916;165410;37232;31831;443880;73741;241559;125149;225395;305588;35769;608153;273362;95098;1181614
1998;536462;14873;53816;941144;256761;190505;232086;398910;38698;186118;68995;343254;165594;37320;31989;444891;73725;243450;126479;226479;306179;35612;611613;274458;96517;1187609
1999;540639;14946;53737;943427;258602;188458;234307;403067;38708;186026;68818;345357;165649;37657;32225;447609;73552;243908;128248;227285;308498;35487;616275;275632;97758;1198569
2000;544306;15021;53515;943696;260036;187667;236339;408820;38546;186744;68794;347209;165731;38000;32414;449399;73305;244015;130232;227306;310215;35246;620294;276170;99388;1211647
2001;550298;14977;53138;946310;261083;186469;240339;413618;38216;185225;68930;350017;166227;38389;32678;452904;73229;245264;131264;228206;312528;34992;624980;278419;101022;1226931
2002;555782;14985;53097;949590;262949;186719;243400;418747;38322;185771;69074;351889;166767;38736;32961;455251;73834;246280;133227;229904;315256;35209;631039;281345;102407;1241312
2003;560674;15010;52976;951957;264402;186653;246656;423993;38502;186943;69064;353175;167047;39070;33142;457289;73968;246807;134903;231836;317315;35118;639105;285008;103642;1249893
