Year;In town;Out town;Small Highway;Highway
1970;Infinity;Infinity;Infinity;Infinity
1971;Infinity;Infinity;Infinity;Infinity
1972;Infinity;Infinity;Infinity;Infinity
1973;Infinity;Infinity;Infinity;Infinity
1974;Infinity;Infinity;Infinity;Infinity
1975;Infinity;Infinity;Infinity;Infinity
1976;Infinity;Infinity;Infinity;Infinity
1977;Infinity;Infinity;Infinity;Infinity
1978;Infinity;Infinity;Infinity;Infinity
1979;Infinity;Infinity;Infinity;Infinity
1980;Infinity;Infinity;Infinity;Infinity
1981;Infinity;Infinity;Infinity;Infinity
1982;Infinity;Infinity;Infinity;Infinity
1983;Infinity;Infinity;Infinity;Infinity
1984;50;Infinity;Infinity;Infinity
1985;50;Infinity;Infinity;Infinity
1986;50;Infinity;Infinity;Infinity
1987;50;Infinity;Infinity;Infinity
1988;50;Infinity;Infinity;Infinity
1989;80;80;100;120
1990;80;80;100;120
1991;80;80;100;120
1992;80;80;100;120
1993;80;80;100;120
1994;80;80;100;120
1995;80;80;100;120
1996;80;80;100;120
1997;80;80;100;120
1998;80;80;100;120
1999;80;80;100;120
2000;80;80;100;120
2001;80;80;100;120
2002;80;80;100;120
2003;80;80;100;120
2004;80;80;100;120
2005;80;80;100;120
2006;80;80;100;120
2007;80;80;100;120
2008;80;80;100;120
2009;80;80;100;120
2010;80;80;100;120
2011;80;80;100;120
2012;80;80;100;120
2013;80;80;100;120
2014;80;80;100;120
2015;80;80;100;120
2016;80;80;100;120
